,latitude,longitude,1,2,3,4,5
0,59.2823 ,10.33004,,,,,
1,39.4803 ,-97.64928,,,,,
2,55.611735 ,37.665831,,,,,
3,29.961078 ,-81.340501,,,,,
4,30.04479 ,-98.039313,,,,,
5,27.557585 ,80.699477,,,,,
6,50.422389 ,30.505906,,,,,
7,u,n,k,n,o,w,n
8,40.393715 ,-3.676087,,,,,
9,40.416024 ,-3.696213,,,,,
10,u,n,k,n,o,w,n
11,36.718612 ,-4.496911,,,,,
12,u,n,k,n,o,w,n
13,u,n,k,n,o,w,n
14,u,n,k,n,o,w,n
15,u,n,k,n,o,w,n
16,u,n,k,n,o,w,n
17,12.4989 ,124.6377,,,,,
18,u,n,k,n,o,w,n
19,u,n,k,n,o,w,n
20,u,n,k,n,o,w,n
21,u,n,k,n,o,w,n
22,-12.763924 ,-40.969305,,,,,
23,38.09032 ,-92.29267,,,,,
24,14.18455 ,12.003467,,,,,
25,41.311421 ,19.446037,,,,,
26,u,n,k,n,o,w,n
27,u,n,k,n,o,w,n
28,u,n,k,n,o,w,n
29,14.718301 ,-17.27781,,,,,
30,u,n,k,n,o,w,n
31,u,n,k,n,o,w,n
32,-13.716985 ,-76.205805,,,,,
33,26.407384 ,93.25513,,,,,
34,u,n,k,n,o,w,n
35,u,n,k,n,o,w,n
36,u,n,k,n,o,w,n
37,u,n,k,n,o,w,n
38,28.486359 ,-16.317929,,,,,
39,41.648971 ,-4.713868,,,,,
40,40.483359 ,-3.667923,,,,,
41,59.927468 ,40.396485,,,,,
42,u,n,k,n,o,w,n
43,u,n,k,n,o,w,n
44,40.927641 ,-8.572243,,,,,
45,u,n,k,n,o,w,n
46,u,n,k,n,o,w,n
47,53.16667 ,-7.02121,,,,,
48,u,n,k,n,o,w,n
49,43.045331 ,-9.246803,,,,,
50,20.646389 ,-103.413621,,,,,
51,u,n,k,n,o,w,n
52,40 ,-4,,,,,
53,u,n,k,n,o,w,n
54,9.427095 ,49.002487,,,,,
55,u,n,k,n,o,w,n
56,u,n,k,n,o,w,n
57,u,n,k,n,o,w,n
58,31.31517 ,-85.85522,,,,,
