,latitude,longitude
0,59.2823 ,10.33004
1,39.4803 ,-97.64928
2,55.611735 ,37.665831
3,29.961078 ,-81.340501
4,30.04479 ,-98.039313
5,27.557585 ,80.699477
6,50.422389 ,30.505906
8,40.393715 ,-3.676087
9,40.416024 ,-3.696213
11,36.718612 ,-4.496911
17,12.4989 ,124.6377
22,-12.763924 ,-40.969305
23,38.09032 ,-92.29267
24,14.18455 ,12.003467
25,41.311421 ,19.446037
29,14.718301 ,-17.27781
32,-13.716985 ,-76.205805
33,26.407384 ,93.25513
38,28.486359 ,-16.317929
39,41.648971 ,-4.713868
40,40.483359 ,-3.667923
41,59.927468 ,40.396485
44,40.927641 ,-8.572243
47,53.16667 ,-7.02121
49,43.045331 ,-9.246803
50,20.646389 ,-103.413621
52,40 ,-4
54,9.427095 ,49.002487
58,31.31517 ,-85.85522
59,41.76797 ,-76.442844
60,45.16667 ,15.5
62,38.009583 ,-3.369091
63,22 ,-102.5
64,44.432114 ,26.105103
65,36.713508 ,-4.432622
67,52.01991 ,-128.27791
69,9.598 ,138.1665
74,-34.623945 ,-58.427
76,55.857808 ,48.819654
78,48.877368 ,2.330422
79,48.829077 ,2.237703
81,40 ,-4
83,29.773333 ,-95.215543
84,50.985836 ,-0.273958
86,52.097217 ,5.0646
90,5.343059 ,-3.989415
93,2.384034 ,30.920685
95,50.106603 ,8.669371
96,52.845879 ,8.040395
97,42.83333 ,12.83333
98,32.793686 ,-97.407725
99,35.463688 ,-97.604454
100,28.136787 ,-16.670687
102,48.698425 ,9.165179
103,38.46806 ,106.27306
106,22.681197 ,75.879578
107,8.4115 ,-75.58508
108,55.835634 ,37.954136
109,38.46806 ,106.27306
110,14.571417 ,120.983441
111,30.60497 ,-87.898838
112,45.285795 ,-75.935494
113,43.83768 ,7.85849
117,13.791835 ,121.070425
118,12.936882 ,77.582079
120,8.5 ,-11.5
122,14.102352 ,122.843792
125,42.24568 ,-122.78865
126,52.514157 ,-2.077159
128,8.035032 ,-76.336075
132,29.961078 ,-81.340501
133,40.393715 ,-3.676087
135,36.718612 ,-4.496911
137,37.540601 ,-5.079589
